modello,indice,test,categoria,origine,messaggio
1b,45,test_min_edit_script_5,NameError,test,name 'min_edit_script' is not defined
1b,45,test_min_edit_script_6,NameError,test,name 'min_edit_script' is not defined
1b,45,test_min_edit_script_7,NameError,test,name 'min_edit_script' is not defined
1b,45,test_min_edit_script_8,NameError,test,name 'min_edit_script' is not defined
1b,46,test_common_conv2d_pool_output_shape_1,TypeError,funzione,object of type 'int' has no len()
1b,46,test_common_conv2d_pool_output_shape_2,TypeError,funzione,object of type 'int' has no len()
1b,46,test_common_conv2d_pool_output_shape_3,TypeError,funzione,object of type 'int' has no len()
1b,46,test_common_conv2d_pool_output_shape_4,TypeError,funzione,object of type 'int' has no len()
1b,46,test_common_conv2d_pool_output_shape_5,TypeError,funzione,object of type 'int' has no len()
1b,46,test_common_conv2d_pool_output_shape_6,NameError,test,name 'pytest' is not defined
1b,46,test_common_conv2d_pool_output_shape_7,NameError,test,name 'pytest' is not defined
1b,46,test_common_conv2d_pool_output_shape_8,NameError,test,name 'pytest' is not defined
1b,47,test_featurize_finance_1,NameError,test,name 'featurize_finance' is not defined
1b,47,test_featurize_finance_2,NameError,test,name 'featurize_finance' is not defined
1b,47,test_featurize_finance_3,NameError,test,name 'featurize_finance' is not defined
1b,47,test_featurize_finance_4,NameError,test,name 'featurize_finance' is not defined
1b,47,test_featurize_finance_5,NameError,test,name 'featurize_finance' is not defined
1b,47,test_featurize_finance_6,NameError,test,name 'featurize_finance' is not defined
1b,47,test_featurize_finance_7,NameError,test,name 'featurize_finance' is not defined
1b,48,test_tmux_format_1,AssertionError,test,"assert '#[reverse,fg...  KW: 1 min  ' == '#[colour4,fg=white] KW'"
1b,48,test_tmux_format_2,AssertionError,test,"assert '#[reverse,fg...  KW: 1 min  ' == '#[reverse,fg...hite]  20 min'"
1b,48,test_tmux_format_3,AssertionError,test,"assert '#[reverse,fg...  KW: 1 min  ' == '#[colour1,fg...ite]  30 mins'"
1b,48,test_tmux_format_4,DID NOT RAISE,test,eccezione attesa e non sollevata
1b,48,test_tmux_format_5,AssertionError,test,"assert '#[noreverse,...  EB: 1 min  ' == 'KW'"
1b,49,test_next_point_in_8_neigh_1,NameError,test,name 'next_point_in_8_neigh' is not defined
1b,49,test_next_point_in_8_neigh_2,NameError,test,name 'next_point_in_8_neigh' is not defined
1b,49,test_next_point_in_8_neigh_3,NameError,test,name 'next_point_in_8_neigh' is not defined
1b,49,test_next_point_in_8_neigh_4,NameError,test,name 'next_point_in_8_neigh' is not defined
1b,49,test_next_point_in_8_neigh_5,NameError,test,name 'next_point_in_8_neigh' is not defined
1b,49,test_next_point_in_8_neigh_6,NameError,test,name 'next_point_in_8_neigh' is not defined
1b,49,test_next_point_in_8_neigh_7,NameError,test,name 'next_point_in_8_neigh' is not defined
1b,49,test_next_point_in_8_neigh_8,NameError,test,name 'next_point_in_8_neigh' is not defined
1b,50,test_cal_overlap_neg_strand_1[0-10--5-15],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,50,test_cal_overlap_neg_strand_1[20-30--3-25],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,50,test_cal_overlap_neg_strand_2[0-10--5-15],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,50,test_cal_overlap_neg_strand_2[-20-30--3-25],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,50,test_cal_overlap_neg_strand_3[0-10--5-15],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,50,test_cal_overlap_neg_strand_3[-20-30--3-25],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,50,test_cal_overlap_neg_strand_4[0-10--5-15],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,50,test_cal_overlap_neg_strand_4[-20-30--3-25],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,50,test_cal_overlap_neg_strand_5[0-10--5-15],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,50,test_cal_overlap_neg_strand_5[-20-30--3-25],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,50,test_cal_overlap_neg_strand_6[0-10--5-15],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,50,test_cal_overlap_neg_strand_6[-20-30--3-25],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,50,test_cal_overlap_neg_strand_7[0-10--5-15],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,50,test_cal_overlap_neg_strand_7[-20-30--3-25],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,50,test_cal_overlap_neg_strand_8[0-10--5-15],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,50,test_cal_overlap_neg_strand_8[-20-30--3-25],NameError,test,name 'cal_overlap_neg_strand' is not defined
1b,51,test_find_repeat_1,NameError,test,name 'find_repeat' is not defined
1b,51,test_find_repeat_2,NameError,test,name 'find_repeat' is not defined
1b,51,test_find_repeat_3,NameError,test,name 'find_repeat' is not defined
1b,51,test_find_repeat_4,NameError,test,name 'find_repeat' is not defined
1b,51,test_find_repeat_5,NameError,test,name 'find_repeat' is not defined
1b,51,test_find_repeat_6,NameError,test,name 'find_repeat' is not defined
1b,51,test_find_repeat_7,NameError,test,name 'find_repeat' is not defined
1b,51,test_find_repeat_8,NameError,test,name 'find_repeat' is not defined
1b,52,test_get_next_queen_recursion_coordinates_1,AssertionError,test,"assert (4, 2) == (6, 7)"
1b,52,test_get_next_queen_recursion_coordinates_2,AssertionError,test,"assert (3, 0) == (2, 1)"
1b,52,test_get_next_queen_recursion_coordinates_3,AssertionError,test,"assert (6, 5) == (6, 8)"
1b,52,test_get_next_queen_recursion_coordinates_4,AssertionError,test,"assert (1, 2) == (4, 3)"
1b,52,test_get_next_queen_recursion_coordinates_5,AssertionError,test,"assert (5, 2) == (3, 2)"
1b,52,test_get_next_queen_recursion_coordinates_6,AssertionError,test,"assert (7, 3) == (5, 4)"
1b,52,test_get_next_queen_recursion_coordinates_7,AssertionError,test,"assert (1, 1) == (2, 1)"
1b,52,test_get_next_queen_recursion_coordinates_8,AssertionError,test,"assert (6, 4) == (6, 6)"
1b,53,test_calc_num_weights3_1,NameError,test,name 'calc_num_weights3' is not defined
1b,53,test_calc_num_weights3_2,NameError,test,name 'calc_num_weights3' is not defined
1b,53,test_calc_num_weights3_3,NameError,test,name 'calc_num_weights3' is not defined
1b,53,test_calc_num_weights3_4,NameError,test,name 'calc_num_weights3' is not defined
1b,53,test_calc_num_weights3_5,NameError,test,name 'calc_num_weights3' is not defined
1b,53,test_calc_num_weights3_6,NameError,test,name 'calc_num_weights3' is not defined
1b,53,test_calc_num_weights3_7,NameError,test,name 'calc_num_weights3' is not defined
1b,53,test_calc_num_weights3_8,NameError,test,name 'calc_num_weights3' is not defined
1b,54,test_get_intersect_point_1,NameError,test,name 'get_intersect_point' is not defined
1b,54,test_get_intersect_point_2,NameError,test,name 'get_intersect_point' is not defined
1b,54,test_get_intersect_point_3,NameError,test,name 'get_intersect_point' is not defined
1b,54,test_get_intersect_point_4,NameError,test,name 'get_intersect_point' is not defined
1b,54,test_get_intersect_point_5,NameError,test,name 'get_intersect_point' is not defined
1b,54,test_get_intersect_point_6,NameError,test,name 'get_intersect_point' is not defined
1b,54,test_get_intersect_point_7,NameError,test,name 'get_intersect_point' is not defined
1b,54,test_get_intersect_point_8,NameError,test,name 'get_intersect_point' is not defined
1b,55,test_check_dead_corner_1,NameError,test,name 'check_dead_corner' is not defined
1b,55,test_check_dead_corner_2,NameError,test,name 'check_dead_corner' is not defined
1b,55,test_check_dead_corner_3,NameError,test,name 'check_dead_corner' is not defined
1b,55,test_check_dead_corner_4,NameError,test,name 'check_dead_corner' is not defined
1b,55,test_check_dead_corner_5,NameError,test,name 'check_dead_corner' is not defined
1b,55,test_check_dead_corner_6,NameError,test,name 'check_dead_corner' is not defined
1b,56,test_formatTime_1,NameError,test,name 'formatTime' is not defined
1b,56,test_formatTime_2,NameError,test,name 'formatTime' is not defined
1b,56,test_formatTime_3,NameError,test,name 'formatTime' is not defined
1b,56,test_formatTime_4,NameError,test,name 'formatTime' is not defined
1b,56,test_formatTime_5,NameError,test,name 'formatTime' is not defined
1b,56,test_formatTime_6,NameError,test,name 'formatTime' is not defined
1b,57,test_fileNamer_1,AssertionError,test,assert 'EdgeModel_dataset' == 'dataset_NodeModel'
1b,57,test_fileNamer_4,TypeError,funzione,"can only concatenate str (not ""bool"") to str"
1b,57,test_fileNamer_5,TypeError,funzione,"can only concatenate str (not ""float"") to str"
1b,57,test_fileNamer_6,AssertionError,test,assert '' == 'dataset'
1b,57,test_fileNamer_7,TypeError,funzione,"can only concatenate str (not ""int"") to str"
1b,58,test_detect_side_1,NameError,test,name 'detect_side' is not defined
1b,58,test_detect_side_2,NameError,test,name 'detect_side' is not defined
1b,58,test_detect_side_3,NameError,test,name 'detect_side' is not defined
1b,58,test_detect_side_4,NameError,test,name 'detect_side' is not defined
1b,58,test_detect_side_5,NameError,test,name 'detect_side' is not defined
1b,58,test_detect_side_6,NameError,test,name 'detect_side' is not defined
1b,58,test_detect_side_7,NameError,test,name 'detect_side' is not defined
1b,58,test_detect_side_8,NameError,test,name 'detect_side' is not defined
1b,59,test_circle_line_intersection_1,AssertionError,test,assert [(-2.77350098...251471689219)] == [(2.236067977...606797749979)]
1b,59,test_circle_line_intersection_2,AssertionError,test,assert [(-3.53553390...339059327373)] == []
1b,59,test_circle_line_intersection_3,AssertionError,test,assert [] == [(4.236067977...606797749979)]
1b,59,test_circle_line_intersection_4,AssertionError,test,assert [(-1.82710574...211490264018)] == []
1b,59,test_circle_line_intersection_5,AssertionError,test,assert [] == [(4.236067977...606797749979)]
1b,59,test_circle_line_intersection_6,AssertionError,test,assert [(-2.39116499...164991562634)] == []
1b,59,test_circle_line_intersection_7,AssertionError,test,assert [(-3.60135104...468057360981)] == [(6.236067977...606797749979)]
1b,59,test_circle_line_intersection_8,AssertionError,test,assert [(4.391164991...164991562634)] == []
1b,60,test_fire_gun_1,NameError,test,name 'fire_gun' is not defined
1b,60,test_fire_gun_2,NameError,test,name 'fire_gun' is not defined
1b,60,test_fire_gun_3,NameError,test,name 'fire_gun' is not defined
1b,60,test_fire_gun_4,NameError,test,name 'fire_gun' is not defined
1b,60,test_fire_gun_5,NameError,test,name 'fire_gun' is not defined
1b,60,test_fire_gun_6,NameError,test,name 'fire_gun' is not defined
1b,60,test_fire_gun_7,NameError,test,name 'fire_gun' is not defined
1b,60,test_fire_gun_8,NameError,test,name 'fire_gun' is not defined
1b,61,test_rollDie_1,NameError,test,name 'RED' is not defined
1b,61,test_rollDie_2,NameError,test,name 'YELLOW' is not defined
1b,61,test_rollDie_3,NameError,test,name 'GREEN' is not defined
1b,61,test_rollDie_4,NameError,test,name 'RED' is not defined
1b,61,test_rollDie_5,NameError,test,name 'YELLOW' is not defined
1b,61,test_rollDie_6,NameError,test,name 'GREEN' is not defined
1b,64,test_remove_chars_1,NameError,test,name 'remove_chars' is not defined
1b,64,test_remove_chars_2,NameError,test,name 'remove_chars' is not defined
1b,64,test_remove_chars_3,NameError,test,name 'remove_chars' is not defined
1b,64,test_remove_chars_4,NameError,test,name 'remove_chars' is not defined
1b,64,test_remove_chars_5,NameError,test,name 'remove_chars' is not defined
1b,64,test_remove_chars_6,NameError,test,name 'remove_chars' is not defined
1b,64,test_remove_chars_7,NameError,test,name 'remove_chars' is not defined
1b,64,test_remove_chars_8,NameError,test,name 'remove_chars' is not defined
1b,65,test_cigar_prefix_length_1,NameError,test,name 'cigar_prefix_length' is not defined
1b,65,test_cigar_prefix_length_2,NameError,test,name 'cigar_prefix_length' is not defined
1b,65,test_cigar_prefix_length_3,NameError,test,name 'cigar_prefix_length' is not defined
1b,65,test_cigar_prefix_length_4,NameError,test,name 'cigar_prefix_length' is not defined
1b,65,test_cigar_prefix_length_5,NameError,test,name 'cigar_prefix_length' is not defined
1b,65,test_cigar_prefix_length_6,NameError,test,name 'cigar_prefix_length' is not defined
1b,66,test_get_segment_directions_1,NameError,test,name 'get_segment_directions' is not defined
1b,66,test_get_segment_directions_3,NameError,test,name 'get_segment_directions' is not defined
1b,66,test_get_segment_directions_5,NameError,test,name 'get_segment_directions' is not defined
1b,66,test_get_segment_directions_7,NameError,test,name 'get_segment_directions' is not defined
1b,67,test_max2GetIdx_1,NameError,test,name 'max2GetIdx' is not defined
1b,67,test_max2GetIdx_2,NameError,test,name 'max2GetIdx' is not defined
1b,67,test_max2GetIdx_3,NameError,test,name 'max2GetIdx' is not defined
1b,67,test_max2GetIdx_4,NameError,test,name 'max2GetIdx' is not defined
1b,67,test_max2GetIdx_5,NameError,test,name 'max2GetIdx' is not defined
1b,67,test_max2GetIdx_6,NameError,test,name 'max2GetIdx' is not defined
1b,67,test_max2GetIdx_7,NameError,test,name 'max2GetIdx' is not defined
1b,67,test_max2GetIdx_8,NameError,test,name 'max2GetIdx' is not defined
1b,68,test_getYAxisMinMaxGC_1,NameError,test,name 'getYAxisMinMaxGC' is not defined
1b,68,test_getYAxisMinMaxGC_2,NameError,test,name 'getYAxisMinMaxGC' is not defined
1b,68,test_getYAxisMinMaxGC_3,NameError,test,name 'getYAxisMinMaxGC' is not defined
1b,68,test_getYAxisMinMaxGC_4,NameError,test,name 'getYAxisMinMaxGC' is not defined
1b,68,test_getYAxisMinMaxGC_5,NameError,test,name 'getYAxisMinMaxGC' is not defined
1b,68,test_getYAxisMinMaxGC_6,NameError,test,name 'getYAxisMinMaxGC' is not defined
1b,68,test_getYAxisMinMaxGC_7,NameError,test,name 'getYAxisMinMaxGC' is not defined
1b,70,test_iterative_levenshtein_1,NameError,test,name 'iterative_levenshtein' is not defined
1b,70,test_iterative_levenshtein_2,NameError,test,name 'iterative_levenshtein' is not defined
1b,70,test_iterative_levenshtein_3,NameError,test,name 'iterative_levenshtein' is not defined
1b,70,test_iterative_levenshtein_4,NameError,test,name 'iterative_levenshtein' is not defined
1b,70,test_iterative_levenshtein_5,NameError,test,name 'iterative_levenshtein' is not defined
1b,70,test_iterative_levenshtein_6,NameError,test,name 'iterative_levenshtein' is not defined
1b,70,test_iterative_levenshtein_7,NameError,test,name 'iterative_levenshtein' is not defined
1b,70,test_iterative_levenshtein_8,NameError,test,name 'iterative_levenshtein' is not defined
1b,71,test_centre_on_peak_1,NameError,test,name 'centre_on_peak' is not defined
1b,71,test_centre_on_peak_2,NameError,test,name 'centre_on_peak' is not defined
1b,71,test_centre_on_peak_3,NameError,test,name 'centre_on_peak' is not defined
1b,71,test_centre_on_peak_4,NameError,test,name 'centre_on_peak' is not defined
1b,71,test_centre_on_peak_5,NameError,test,name 'centre_on_peak' is not defined
1b,71,test_centre_on_peak_6,NameError,test,name 'centre_on_peak' is not defined
1b,71,test_centre_on_peak_7,NameError,test,name 'centre_on_peak' is not defined
1b,72,test_locate_alignment_1,NameError,test,name 'locate_alignment' is not defined
1b,72,test_locate_alignment_2,NameError,test,name 'locate_alignment' is not defined
1b,72,test_locate_alignment_3,NameError,test,name 'locate_alignment' is not defined
1b,72,test_locate_alignment_4,NameError,test,name 'locate_alignment' is not defined
1b,72,test_locate_alignment_5,NameError,test,name 'locate_alignment' is not defined
1b,72,test_locate_alignment_6,NameError,test,name 'locate_alignment' is not defined
1b,74,test_look_up_latest_epoch_2,AssertionError,test,"assert (-1, 0) == (1, 0)"
1b,74,test_look_up_latest_epoch_3,AssertionError,test,"assert (-1, 0) == (2, 0)"
1b,74,test_look_up_latest_epoch_4,AssertionError,test,"assert (-1, 0) == (3, 0)"
1b,74,test_look_up_latest_epoch_5,AssertionError,test,"assert (-2, 0) == (1, 0)"
1b,74,test_look_up_latest_epoch_6,AssertionError,test,"assert (-2, 0) == (2, 0)"
1b,74,test_look_up_latest_epoch_7,AssertionError,test,"assert (-2, 0) == (3, 0)"
1b,75,test_find_adjacent_product_1,NameError,test,name 'find_adjacent_product' is not defined
1b,75,test_find_adjacent_product_2,NameError,test,name 'find_adjacent_product' is not defined
1b,75,test_find_adjacent_product_3,NameError,test,name 'find_adjacent_product' is not defined
1b,75,test_find_adjacent_product_4,NameError,test,name 'find_adjacent_product' is not defined
1b,75,test_find_adjacent_product_5,NameError,test,name 'find_adjacent_product' is not defined
1b,75,test_find_adjacent_product_6,NameError,test,name 'find_adjacent_product' is not defined
1b,75,test_find_adjacent_product_7,NameError,test,name 'find_adjacent_product' is not defined
1b,75,test_find_adjacent_product_8,NameError,test,name 'find_adjacent_product' is not defined
1b,76,test_convert_location_to_pitch_1[clef-G2],AssertionError,test,"assert 'note-B2' in ['rest', 'note-0 note-1']"
1b,76,test_convert_location_to_pitch_1[clef-F4],AssertionError,test,"assert 'note-D0' in ['rest', 'note-0 note-1']"
1b,76,test_convert_location_to_pitch_2[clef-C3],AssertionError,test,assert 'note-E1' == 'note-4 note-5'
1b,76,test_convert_location_to_pitch_2[clef-C5],AssertionError,test,assert 'note-A0' == 'note-4 note-5'
1b,76,test_convert_location_to_pitch_3[clef-G2],AssertionError,test,"assert 'note-B2' in ['rest', 'note-1 note-2']"
1b,76,test_convert_location_to_pitch_3[clef-F4],AssertionError,test,"assert 'note-D0' in ['rest', 'note-1 note-2']"
1b,76,test_convert_location_to_pitch_3[clef-C3],AssertionError,test,"assert 'note-C1' in ['rest', 'note-1 note-2']"
1b,76,test_convert_location_to_pitch_4[clef-G2],AssertionError,test,assert 'note-C2' == 'note-3 note-4'
1b,76,test_convert_location_to_pitch_4[clef-F4],AssertionError,test,assert 'note-E0' == 'note-3 note-4'
1b,76,test_convert_location_to_pitch_4[clef-C5],AssertionError,test,assert 'note-G0' == 'note-3 note-4'
1b,76,test_convert_location_to_pitch_5[clef-G1],AssertionError,test,"assert 'note-D2' in ['rest', 'note-1 note-2']"
1b,76,test_convert_location_to_pitch_5[clef-F3],AssertionError,test,"assert 'note-F0' in ['rest', 'note-1 note-2']"
1b,76,test_convert_location_to_pitch_5[clef-C2],AssertionError,test,"assert 'note-E1' in ['rest', 'note-1 note-2']"
1b,76,test_convert_location_to_pitch_6[clef-G2],AssertionError,test,"assert 'note-B2' in ['rest', 'note-1 note-2']"
1b,76,test_convert_location_to_pitch_6[clef-F4],AssertionError,test,"assert 'note-D0' in ['rest', 'note-1 note-2']"
1b,76,test_convert_location_to_pitch_6[clef-C3],AssertionError,test,"assert 'note-C1' in ['rest', 'note-1 note-2']"
1b,76,test_convert_location_to_pitch_6[clef-C5],AssertionError,test,"assert 'note-F0' in ['rest', 'note-1 note-2']"
1b,76,test_convert_location_to_pitch_7[clef-G2],AssertionError,test,"assert 'note-E2' in ['rest', 'note-0 note-1']"
1b,76,test_convert_location_to_pitch_7[clef-F4],AssertionError,test,"assert 'note-G0' in ['rest', 'note-0 note-1']"
1b,76,test_convert_location_to_pitch_7[clef-C3],AssertionError,test,"assert 'note-F1' in ['rest', 'note-0 note-1']"
1b,76,test_convert_location_to_pitch_7[clef-C5],AssertionError,test,"assert 'note-B0' in ['rest', 'note-0 note-1']"
1b,77,test_oracle2numpy_1,NameError,test,name 'oracle2numpy' is not defined
1b,77,test_oracle2numpy_2,NameError,test,name 'oracle2numpy' is not defined
1b,77,test_oracle2numpy_3,NameError,test,name 'oracle2numpy' is not defined
1b,77,test_oracle2numpy_4,NameError,test,name 'oracle2numpy' is not defined
1b,77,test_oracle2numpy_5,NameError,test,name 'oracle2numpy' is not defined
1b,77,test_oracle2numpy_6,NameError,test,name 'oracle2numpy' is not defined
1b,79,test_count_leading_digits_var2_1,NameError,test,name 'count_leading_digits_var2' is not defined
1b,79,test_count_leading_digits_var2_2,NameError,test,name 'count_leading_digits_var2' is not defined
1b,79,test_count_leading_digits_var2_3,NameError,test,name 'count_leading_digits_var2' is not defined
1b,79,test_count_leading_digits_var2_4,NameError,test,name 'count_leading_digits_var2' is not defined
1b,79,test_count_leading_digits_var2_5,NameError,test,name 'count_leading_digits_var2' is not defined
1b,79,test_count_leading_digits_var2_6,NameError,test,name 'count_leading_digits_var2' is not defined
1b,79,test_count_leading_digits_var2_7,NameError,test,name 'count_leading_digits_var2' is not defined
1b,79,test_count_leading_digits_var2_8,NameError,test,name 'count_leading_digits_var2' is not defined
1b,81,test_maximal_mesh_pattern_of_occurrence_1,NameError,test,name 'maximal_mesh_pattern_of_occurrence' is not defined
1b,81,test_maximal_mesh_pattern_of_occurrence_2,NameError,test,name 'maximal_mesh_pattern_of_occurrence' is not defined
1b,81,test_maximal_mesh_pattern_of_occurrence_3,NameError,test,name 'maximal_mesh_pattern_of_occurrence' is not defined
1b,81,test_maximal_mesh_pattern_of_occurrence_4,NameError,test,name 'maximal_mesh_pattern_of_occurrence' is not defined
1b,81,test_maximal_mesh_pattern_of_occurrence_5,NameError,test,name 'maximal_mesh_pattern_of_occurrence' is not defined
1b,81,test_maximal_mesh_pattern_of_occurrence_6,NameError,test,name 'maximal_mesh_pattern_of_occurrence' is not defined
1b,81,test_maximal_mesh_pattern_of_occurrence_7,NameError,test,name 'maximal_mesh_pattern_of_occurrence' is not defined
1b,81,test_maximal_mesh_pattern_of_occurrence_8,NameError,test,name 'maximal_mesh_pattern_of_occurrence' is not defined
1b,83,test_crosscount_1,TypeError,test,crosscount() takes 1 positional argument but 2 were given
1b,83,test_crosscount_2,TypeError,test,crosscount() takes 1 positional argument but 2 were given
1b,83,test_crosscount_3,TypeError,test,crosscount() takes 1 positional argument but 2 were given
1b,83,test_crosscount_4,TypeError,test,crosscount() takes 1 positional argument but 2 were given
1b,83,test_crosscount_5,TypeError,test,crosscount() takes 1 positional argument but 2 were given
1b,83,test_crosscount_6,TypeError,test,crosscount() takes 1 positional argument but 2 were given
1b,83,test_crosscount_7,TypeError,test,crosscount() takes 1 positional argument but 2 were given
1b,83,test_crosscount_8,TypeError,test,crosscount() takes 1 positional argument but 2 were given
1b,84,test_checkFormulas_1,NameError,test,name 'checkFormulas' is not defined
1b,84,test_checkFormulas_2,NameError,test,name 'checkFormulas' is not defined
1b,84,test_checkFormulas_3,NameError,test,name 'checkFormulas' is not defined
1b,84,test_checkFormulas_4,NameError,test,name 'checkFormulas' is not defined
1b,84,test_checkFormulas_5,NameError,test,name 'checkFormulas' is not defined
1b,84,test_checkFormulas_6,NameError,test,name 'checkFormulas' is not defined
1b,84,test_checkFormulas_7,NameError,test,name 'checkFormulas' is not defined
1b,84,test_checkFormulas_8,NameError,test,name 'checkFormulas' is not defined
1b,85,test_bound_line_in_box_1,TypeError,test,bound_line_in_box() missing 1 required positional argument: 'length_margin'
1b,85,test_bound_line_in_box_2,TypeError,test,bound_line_in_box() missing 1 required positional argument: 'length_margin'
1b,85,test_bound_line_in_box_3,TypeError,test,bound_line_in_box() missing 1 required positional argument: 'length_margin'
1b,85,test_bound_line_in_box_4,TypeError,test,bound_line_in_box() missing 1 required positional argument: 'length_margin'
1b,85,test_bound_line_in_box_5,TypeError,test,bound_line_in_box() missing 1 required positional argument: 'length_margin'
1b,85,test_bound_line_in_box_6,TypeError,test,bound_line_in_box() missing 1 required positional argument: 'length_margin'
1b,85,test_bound_line_in_box_7,TypeError,test,bound_line_in_box() missing 1 required positional argument: 'length_margin'
1b,86,test_change_display_1,NameError,test,name 'change_display' is not defined
1b,86,test_change_display_2,NameError,test,name 'change_display' is not defined
1b,86,test_change_display_3,NameError,test,name 'change_display' is not defined
1b,86,test_change_display_4,NameError,test,name 'change_display' is not defined
1b,86,test_change_display_5,NameError,test,name 'change_display' is not defined
1b,86,test_change_display_6,NameError,test,name 'change_display' is not defined
1b,86,test_change_display_7,NameError,test,name 'change_display' is not defined
1b,86,test_change_display_8,NameError,test,name 'change_display' is not defined
1b,87,test_oligo_complements_1,NameError,test,name 'oligo_complements' is not defined
1b,87,test_oligo_complements_2,NameError,test,name 'oligo_complements' is not defined
1b,87,test_oligo_complements_3,NameError,test,name 'oligo_complements' is not defined
1b,87,test_oligo_complements_4,NameError,test,name 'oligo_complements' is not defined
1b,87,test_oligo_complements_5,NameError,test,name 'oligo_complements' is not defined
1b,87,test_oligo_complements_6,NameError,test,name 'oligo_complements' is not defined
1b,87,test_oligo_complements_7,NameError,test,name 'oligo_complements' is not defined
1b,88,test_get_text_point_at_line_1,NameError,test,name 'get_text_point_at_line' is not defined
1b,88,test_get_text_point_at_line_2,NameError,test,name 'get_text_point_at_line' is not defined
1b,88,test_get_text_point_at_line_3,NameError,test,name 'get_text_point_at_line' is not defined
1b,88,test_get_text_point_at_line_4,NameError,test,name 'get_text_point_at_line' is not defined
1b,88,test_get_text_point_at_line_5,NameError,test,name 'get_text_point_at_line' is not defined
1b,88,test_get_text_point_at_line_6,NameError,test,name 'get_text_point_at_line' is not defined
1b,89,test_bin_search_range_1,AssertionError,test,assert 5 == 3
1b,89,test_bin_search_range_2,AssertionError,test,assert 4 == 5
1b,89,test_bin_search_range_3,AssertionError,test,assert 4 == 5
1b,89,test_bin_search_range_4,AssertionError,test,assert 4 == 5
1b,89,test_bin_search_range_5,AssertionError,test,assert 4 == 5
1b,89,test_bin_search_range_6,AssertionError,test,assert 4 == 5
1b,89,test_bin_search_range_7,AssertionError,test,assert 4 == 5
1b,89,test_bin_search_range_8,AssertionError,test,assert 4 == 5
1b,91,test_row_revile_indexes_1,NameError,test,name 'row_revile_indexes' is not defined
1b,91,test_row_revile_indexes_2,NameError,test,name 'row_revile_indexes' is not defined
1b,91,test_row_revile_indexes_3,NameError,test,name 'row_revile_indexes' is not defined
1b,91,test_row_revile_indexes_4,NameError,test,name 'row_revile_indexes' is not defined
1b,91,test_row_revile_indexes_5,NameError,test,name 'row_revile_indexes' is not defined
1b,91,test_row_revile_indexes_6,NameError,test,name 'row_revile_indexes' is not defined
1b,91,test_row_revile_indexes_7,NameError,test,name 'row_revile_indexes' is not defined
1b,92,test_usage_bound_2,AssertionError,test,assert 1800.0 == 250
1b,92,test_usage_bound_3,AssertionError,test,assert 1350.0 == 400
1b,92,test_usage_bound_4,IndexError,funzione,list index out of range
1b,92,test_usage_bound_5,IndexError,funzione,list index out of range
1b,92,test_usage_bound_6,IndexError,funzione,list index out of range
1b,93,test_define_neighbours_1,NameError,test,name 'define_neighbours' is not defined
1b,93,test_define_neighbours_2,NameError,test,name 'define_neighbours' is not defined
1b,93,test_define_neighbours_3,NameError,test,name 'define_neighbours' is not defined
1b,93,test_define_neighbours_4,NameError,test,name 'define_neighbours' is not defined
1b,93,test_define_neighbours_5,NameError,test,name 'define_neighbours' is not defined
1b,93,test_define_neighbours_6,NameError,test,name 'define_neighbours' is not defined
1b,93,test_define_neighbours_7,NameError,test,name 'define_neighbours' is not defined
1b,93,test_define_neighbours_8,NameError,test,name 'define_neighbours' is not defined
1b,95,test_flag_meaning_a0,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_a1,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_a2,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_a3,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_an,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_df,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_dr,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_ed,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_ee,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_es,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_fe,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_fr,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_fs,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_gd,NameError,test,name 'flag_meaning' is not defined
1b,95,test_flag_meaning_ge,NameError,test,name 'flag_meaning' is not defined
